Omavalitsus,Vaatlusperiood,"Asustustihedus, elanikku km2 kohta"
..Viru-Nigula vald,2013,5.18
..Viru-Nigula vald,2014,5.19547
..Viru-Nigula vald,2015,5.19912
..Viru-Nigula vald,2016,5.47992
..Väike-Maarja vald,2013,9.81241
..Väike-Maarja vald,2014,9.55879
..Väike-Maarja vald,2015,9.38483
..Väike-Maarja vald,2016,9.78897
..Põlva linn,2013,1062.34
..Ahja vald,2013,13.62
..Ahja vald,2014,13.6061
..Ahja vald,2015,13.35275
..Ahja vald,2016,13.83805
..Kanepi vald,2013,9.98
..Kanepi vald,2014,9.90364
..Kanepi vald,2015,9.84187
..Kanepi vald,2016,10.32576
..Kõlleste vald,2013,6.73
..Kõlleste vald,2014,6.68129
..Kõlleste vald,2015,6.65957
..Kõlleste vald,2016,6.79928
..Laheda vald,2013,13.18
..Laheda vald,2014,13.06439
..Laheda vald,2015,13.2874
..Laheda vald,2016,12.93745
..Mikitamäe vald,2013,8.78
..Mikitamäe vald,2014,8.70606
..Mikitamäe vald,2015,8.61986
..Mikitamäe vald,2016,8.99339
..Mooste vald,2013,7.28
..Mooste vald,2014,7.22774
..Mooste vald,2015,7.40881
..Mooste vald,2016,7.87355
..Orava vald,2013,3.91
..Orava vald,2014,3.90839
..Orava vald,2015,3.8867
..Orava vald,2016,4.09757
..Põlva vald,2013,16.2
..Põlva vald,2014,40.40581
..Põlva vald,2015,40.12037
..Põlva vald,2016,40.87164
..Räpina vald,2013,18.14
..Räpina vald,2014,17.95209
..Räpina vald,2015,17.41207
..Räpina vald,2016,17.62648
..Valgjärve vald,2013,9.61
..Valgjärve vald,2014,9.57908
..Valgjärve vald,2015,9.5991
..Valgjärve vald,2016,9.76702
..Vastse-Kuuste vald,2013,9.25
..Vastse-Kuuste vald,2014,9.29193
..Vastse-Kuuste vald,2015,9.23652
..Vastse-Kuuste vald,2016,9.47231
..Veriora vald,2013,6.66
..Veriora vald,2014,6.56122
..Veriora vald,2015,6.60745
..Veriora vald,2016,6.81705
..Värska vald,2013,6.21
..Värska vald,2014,6.25067
..Värska vald,2015,6.21806
..Värska vald,2016,7.0379
..Pärnu linn,2013,1252.82
..Pärnu linn,2014,1241.62011
..Pärnu linn,2015,1200.12066
..Pärnu linn,2016,1201.44796
..Sindi linn,2013,826.75
..Sindi linn,2014,816.16766
..Sindi linn,2015,797.41036
..Sindi linn,2016,775.0996
..Are vald,2013,7.53
..Are vald,2014,7.54481
..Are vald,2015,7.60428
..Are vald,2016,7.99825
..Audru vald,2013,13.71
..Audru vald,2014,14.53314
..Audru vald,2015,14.55659
..Audru vald,2016,14.73153
