Omavalitsus,Vaatlusperiood,Rahvaarv
..Viru-Nigula vald,2013,1213
..Viru-Nigula vald,2014,1216
..Viru-Nigula vald,2015,1222
..Viru-Nigula vald,2016,1288
..Väike-Maarja vald,2013,4488
..Väike-Maarja vald,2014,4372
..Väike-Maarja vald,2015,4296
..Väike-Maarja vald,2016,4481
..Põlva linn,2013,5811
..Ahja vald,2013,982
..Ahja vald,2014,981
..Ahja vald,2015,963
..Ahja vald,2016,998
..Kanepi vald,2013,2310
..Kanepi vald,2014,2292
..Kanepi vald,2015,2278
..Kanepi vald,2016,2390
..Kõlleste vald,2013,1013
..Kõlleste vald,2014,1005
..Kõlleste vald,2015,1001
..Kõlleste vald,2016,1022
..Laheda vald,2013,1206
..Laheda vald,2014,1195
..Laheda vald,2015,1215
..Laheda vald,2016,1183
..Mikitamäe vald,2013,917
..Mikitamäe vald,2014,909
..Mikitamäe vald,2015,900
..Mikitamäe vald,2016,939
..Mooste vald,2013,1348
..Mooste vald,2014,1338
..Mooste vald,2015,1371
..Mooste vald,2016,1457
..Orava vald,2013,687
..Orava vald,2014,686
..Orava vald,2015,682
..Orava vald,2016,719
..Põlva vald,2013,3703
..Põlva vald,2014,9459
..Põlva vald,2015,9399
..Põlva vald,2016,9575
..Räpina vald,2013,4825
..Räpina vald,2014,4774
..Räpina vald,2015,4629
..Räpina vald,2016,4686
..Valgjärve vald,2013,1374
..Valgjärve vald,2014,1370
..Valgjärve vald,2015,1372
..Valgjärve vald,2016,1396
..Vastse-Kuuste vald,2013,1138
..Vastse-Kuuste vald,2014,1143
..Vastse-Kuuste vald,2015,1136
..Vastse-Kuuste vald,2016,1165
..Veriora vald,2013,1335
..Veriora vald,2014,1315
..Veriora vald,2015,1324
..Veriora vald,2016,1366
..Värska vald,2013,1167
..Värska vald,2014,1174
..Värska vald,2015,1168
..Värska vald,2016,1322
..Pärnu linn,2013,40366
..Pärnu linn,2014,40005
..Pärnu linn,2015,39784
..Pärnu linn,2016,39828
..Sindi linn,2013,4142
..Sindi linn,2014,4089
..Sindi linn,2015,4003
..Sindi linn,2016,3891
..Are vald,2013,1201
..Are vald,2014,1204
..Are vald,2015,1216
..Are vald,2016,1279
..Audru vald,2013,5193
..Audru vald,2014,5622
..Audru vald,2015,5658
..Audru vald,2016,5726
..Halinga vald,2013,2937
..Halinga vald,2014,2903
..Halinga vald,2015,2863
..Halinga vald,2016,2871
..Häädemeeste vald,2013,2472
..Häädemeeste vald,2014,2417
..Häädemeeste vald,2015,2388
..Häädemeeste vald,2016,2522
..Kihnu vald,2013,516
..Kihnu vald,2014,510
..Kihnu vald,2015,502
..Kihnu vald,2016,682
..Koonga vald,2013,1037
..Koonga vald,2014,1023
..Koonga vald,2015,1008
..Koonga vald,2016,1051
..Lavassaare vald,2013,457
..Paikuse vald,2013,3667
..Paikuse vald,2014,3626
..Paikuse vald,2015,3634
..Paikuse vald,2016,3838
..Saarde vald,2013,3858
..Saarde vald,2014,3790
..Saarde vald,2015,3733
..Saarde vald,2016,3895
..Sauga vald,2013,4498
..Sauga vald,2014,4438
..Sauga vald,2015,4459
..Sauga vald,2016,4071
..Surju vald,2013,955
..Surju vald,2014,941
..Surju vald,2015,934
..Surju vald,2016,942
..Tahkuranna vald,2013,2396
..Tahkuranna vald,2014,2384
..Tahkuranna vald,2015,2392
..Tahkuranna vald,2016,2352
..Tootsi vald,2013,746
..Tootsi vald,2014,749
..Tootsi vald,2015,736
..Tootsi vald,2016,775
..Tori vald,2013,2270
..Tori vald,2014,2245
..Tori vald,2015,2279
..Tori vald,2016,2286
..Tõstamaa vald,2013,1250
..Tõstamaa vald,2014,1252
..Tõstamaa vald,2015,1237
..Tõstamaa vald,2016,1305
..Varbla vald,2013,806
..Varbla vald,2014,800
..Varbla vald,2015,786
..Varbla vald,2016,823
..Vändra vald,2013,2604
..Vändra vald,2014,2563
..Vändra vald,2015,2520
..Vändra vald,2016,2669
..Vändra vald (alev),2013,2306
..Vändra vald (alev),2014,2268
..Vändra vald (alev),2015,2217
..Vändra vald (alev),2016,2191
..Juuru vald,2013,1523
..Juuru vald,2014,1492
..Juuru vald,2015,1475
..Juuru vald,2016,1429
..Järvakandi vald,2013,1280
..Järvakandi vald,2014,1242
..Järvakandi vald,2015,1228
..Järvakandi vald,2016,1256
..Kaiu vald,2013,1300
..Kaiu vald,2014,1263
..Kaiu vald,2015,1230
..Kaiu vald,2016,1253
..Kehtna vald,2013,4406
..Kehtna vald,2014,4393
..Kehtna vald,2015,4333
..Kehtna vald,2016,4405
..Kohila vald,2013,7375
..Kohila vald,2014,7304
..Kohila vald,2015,7270
..Kohila vald,2016,6770
..Käru vald,2013,617
..Käru vald,2014,621
..Käru vald,2015,620
..Käru vald,2016,609
..Märjamaa vald,2013,6639
..Märjamaa vald,2014,6525
..Märjamaa vald,2015,6494
..Märjamaa vald,2016,6515
..Raikküla vald,2013,1590
..Raikküla vald,2014,1544
..Raikküla vald,2015,1549
..Raikküla vald,2016,1519
..Rapla vald,2013,9118
..Rapla vald,2014,9093
..Rapla vald,2015,9051
..Rapla vald,2016,9170
..Vigala vald,2013,1221
..Vigala vald,2014,1199
..Vigala vald,2015,1186
..Vigala vald,2016,1222
..Kuressaare linn,2013,13339
..Kuressaare linn,2014,13152
..Kuressaare linn,2015,13009
..Kuressaare linn,2016,13449
..Kaarma vald,2013,4448
..Kaarma vald,2014,4509
..Kihelkonna vald,2013,654
